15967,15086
190595,190422
74601,71447
62009,40347
160128,254278
62958,60732
249123,240304
279600,24761
138863,132240
119115,118994
120494,121403
12129,8750
1367,2568
257076,154511
34506,18664
160053,178809
225062,226303
155475,167093
208507,239381
9139,5309
103870,107700
283039,6793
42039,276165
18302,18361
914,3303
71097,270101
183124,177842
28465,26989
64658,66182
256784,171372
122391,122891
194760,209644
222645,238182
47227,274910
270787,67318
78283,77557
155444,167144
250436,182306
2811,254
205533,206003
25376,276147
30035,280555
37397,56688
224646,224990
3152,284963
196957,219380
53104,52942
256605,113822
250787,172294
18253,17858
