83973,125431
3741,285012
101741,269411
5034,11265
47054,94588
247241,198862
274888,54966
215508,214724
67218,67493
192304,192627
139246,131752
169995,167158
72151,72029
62621,62335
4527,283510
201212,157867
113409,112976
25351,279640
274096,52407
26135,25870
59892,69661
219923,239071
107455,104896
16316,280993
50683,49617
46840,52880
9391,11753
190023,248619
222485,232379
53400,53266
45341,47073
113877,256531
241332,199064
63584,62929
207987,247123
57748,277824
66502,64183
46067,52972
104943,104704
159996,158979
217882,219136
224045,226400
222820,238657
180905,181629
146855,147532
16709,277870
4161,3007
90119,129847
97518,264566
216679,223251
