231844,226966
45744,47315
124375,260625
237875,237986
57375,57292
96775,265899
212309,212819
65969,67978
83962,84149
65680,65448
42696,41822
129073,131070
197088,198808
118248,134979
120644,261700
224422,223535
243656,244937
206280,207422
229444,229894
115190,115244
83805,83204
159064,255091
254615,170222
116892,116378
268464,124876
150946,139676
251593,256404
80395,80211
18790,13873
105472,106521
226401,225960
224413,224602
193575,198358
95271,54790
54591,273226
180382,183738
211334,209805
279283,28073
201910,200906
162846,158581
138182,133246
191602,178743
148029,173305
131368,141135
74622,87813
151380,152382
151853,124531
79244,87908
2522,281599
238450,238372
